都道府県,出生数,出生率,死亡数,死亡率,婚姻件数,婚姻率,離婚件数,離婚率
東京都,111962,8.48,113390,8.59,86009,6.51,23472,1.78
神奈川県,70648,7.86,77357,8.61,46695,5.2,15674,1.74
大阪府,68817,7.94,84391,9.73,46186,5.33,17279,1.99
愛知県,64225,8.77,65226,8.91,40669,5.55,12464,1.7
埼玉県,54448,7.59,63467,8.85,34199,4.77,12481,1.74
千葉県,45388,7.4,56378,9.19,29609,4.82,10612,1.73
福岡県,44033,8.71,51005,10.09,26567,5.26,9772,1.93
兵庫県,43378,7.98,55421,10.19,25807,4.75,9302,1.71
北海道,35125,6.59,61905,11.62,24634,4.62,10477,1.97
静岡県,27652,7.63,39293,10.85,17079,4.71,6237,1.72
広島県,22736,8.12,29994,10.72,13594,4.86,4691,1.68
茨城県,20878,7.3,31414,10.98,13201,4.61,4817,1.68
京都府,19327,7.55,25850,10.1,12142,4.74,4222,1.65
宮城県,17347,7.5,23428,10.12,11127,4.81,3783,1.63
沖縄県,16617,11.64,11707,8.2,8464,5.93,3699,2.59
新潟県,15736,6.92,28821,12.68,9311,4.1,2987,1.31
岡山県,15477,8.16,21533,11.36,8916,4.7,3245,1.71
長野県,15169,7.36,25110,12.19,8968,4.35,3180,1.54
熊本県,14894,8.44,21380,12.11,7976,4.52,2915,1.65
岐阜県,14831,7.47,22471,11.32,8581,4.32,3059,1.54
栃木県,14621,7.54,21436,11.06,9321,4.81,3429,1.77
福島県,13744,7.27,24167,12.78,8681,4.59,3278,1.73
鹿児島県,13688,8.4,21610,13.26,7483,4.59,2891,1.77
群馬県,13661,7.09,22125,11.49,8444,4.38,3241,1.68
三重県,13202,7.44,19830,11.17,8174,4.61,2923,1.65
滋賀県,12072,8.67,12508,8.99,6822,4.9,2202,1.58
長崎県,10886,8.02,17070,12.57,6013,4.43,2169,1.6
愛媛県,9911,7.26,17734,12.98,5861,4.29,2244,1.64
山口県,9844,7.13,18366,13.3,5906,4.28,2149,1.56
奈良県,9430,7,14053,10.43,5628,4.18,2183,1.62
大分県,9059,7.88,14264,12.4,5151,4.48,1999,1.74
宮崎県,8929,8.18,13702,12.55,5097,4.67,2202,2.02
石川県,8927,7.83,12422,10.9,5126,4.5,1653,1.45
青森県,8626,6.69,17309,13.42,5135,3.98,2164,1.68
岩手県,8341,6.6,16960,13.43,4872,3.86,1877,1.49
山形県,7547,6.82,15181,13.71,4284,3.87,1524,1.38
香川県,7510,7.79,11907,12.35,4593,4.76,1613,1.67
富山県,7301,6.96,12862,12.26,4486,4.28,1369,1.31
佐賀県,6811,8.27,9725,11.8,3726,4.52,1378,1.67
和歌山県,6658,7.02,12619,13.3,4061,4.28,1771,1.87
福井県,6112,7.92,9228,11.95,3453,4.47,1119,1.45
山梨県,5819,7.11,9565,11.69,3673,4.49,1369,1.67
秋田県,5666,5.63,15243,15.14,3510,3.49,1393,1.38
徳島県,5346,7.17,9855,13.21,3177,4.26,1184,1.59
島根県,5300,7.75,9562,13.98,2753,4.02,949,1.39
高知県,4779,6.66,10305,14.35,2915,4.06,1227,1.71
鳥取県,4436,7.84,7357,13,2444,4.32,937,1.66
