都道府県,15-64歳人口,総人口比
東京都,8652917,0.65
神奈川県,5670635,0.622
大阪府,5182701,0.599
愛知県,4561255,0.613
埼玉県,4353102,0.61
千葉県,3646354,0.596
兵庫県,3186353,0.588
北海道,2950493,0.57
福岡県,2905077,0.585
静岡県,2074383,0.576
茨城県,1673112,0.587
広島県,1586941,0.574
京都府,1504939,0.586
宮城県,1350814,0.595
新潟県,1239376,0.561
岐阜県,1139480,0.576
栃木県,1134958,0.589
長野県,1131042,0.56
群馬県,1112823,0.579
岡山県,1068402,0.572
福島県,1050951,0.561
三重県,1031664,0.582
熊本県,961947,0.558
鹿児島県,874386,0.551
沖縄県,866415,0.612
滋賀県,850376,0.601
奈良県,763551,0.574
愛媛県,734818,0.553
山口県,724921,0.541
長崎県,722294,0.55
青森県,695984,0.563
岩手県,669275,0.555
石川県,651901,0.578
大分県,627181,0.553
宮崎県,587968,0.548
山形県,584884,0.551
富山県,574820,0.559
香川県,521158,0.556
和歌山県,510003,0.556
秋田県,509890,0.532
山梨県,467914,0.579
佐賀県,452194,0.563
福井県,428076,0.563
徳島県,397584,0.55
高知県,372837,0.538
島根県,348927,0.532
鳥取県,301080,0.553
