都道府県,病院_施設数,病院_施設数/10万人,病院_施設数/100km2,一般診療所_施設数,一般診療所_施設数/10万人,一般診療所_施設数/100km2,歯科診療所_施設数,歯科診療所_施設数/10万人,歯科診療所_施設数/100km2
東京都,646,4.9,46.4,12740,96.4,915.2,10637,80.5,764.2
北海道,575,10.5,2.6,3404,62.3,15.3,3001,55,13.5
大阪府,535,6,40.5,8274,93.4,626.8,5509,62.2,417.3
福岡県,465,9.1,16.8,4551,89.5,164.1,3037,59.7,109.5
兵庫県,353,6.3,12.7,4997,89.7,179.8,2988,53.6,107.5
埼玉県,344,4.8,13.4,4115,57.1,159.8,3480,48.3,135.1
神奈川県,343,3.8,23.4,6537,72.1,445.9,4909,54.1,334.9
愛知県,325,4.4,10.9,5150,69.4,173.1,3679,49.5,123.7
千葉県,279,4.5,7.9,3717,60,105.2,3217,51.9,91.1
鹿児島県,259,15.3,7.9,1407,83.3,43,811,48,24.8
広島県,248,8.7,10.8,2587,90.8,113,1557,54.6,68
熊本県,214,11.8,7.8,1476,81.7,54,842,46.6,30.8
茨城県,183,6.2,4.6,1724,58.5,43.3,1400,47.5,35.2
静岡県,182,4.9,6.6,2698,72.2,98,1776,47.5,64.5
京都府,173,6.6,14.7,2474,94.2,210.4,1316,50.1,111.9
岡山県,170,8.8,7.6,1645,84.9,73.9,1004,51.8,45.1
長崎県,159,11.3,9.7,1421,100.9,87,749,53.2,45.8
大分県,158,13.3,9.1,974,82.1,55.9,547,46.1,31.4
山口県,148,10.3,8.6,1277,89.2,74.3,677,47.3,39.4
愛媛県,143,10.1,8.6,1248,88.2,74.8,690,48.8,41.3
宮城県,142,6.1,4.5,1621,69.7,51.5,1050,45.2,33.4
宮崎県,141,12.5,7.6,900,79.9,48.7,516,45.8,27.9
高知県,133,17.7,11.5,574,76.3,49.6,368,48.9,31.8
群馬県,131,6.6,5.7,1558,78.2,67.7,974,48.9,42.3
新潟県,131,5.6,2.9,1683,71.7,37.4,1174,50,26.1
長野県,130,6.1,3.9,1562,73.2,47.2,1020,47.8,30.8
福島県,128,6.5,3,1389,70.8,32.8,870,44.3,20.6
徳島県,114,14.7,11.1,756,97.4,73.8,423,54.5,41.3
栃木県,109,5.5,3.7,1428,71.6,47.9,983,49.3,33
富山県,109,10.1,5.9,774,71.5,41.8,452,41.7,24.4
佐賀県,108,12.8,8.1,692,82,52,425,50.4,31.9
岐阜県,103,5,4.7,1588,76.9,72.2,945,45.8,43
三重県,103,5.6,5,1526,83,74.6,857,46.6,41.9
青森県,101,7.5,3.1,897,66.4,27.8,557,41.3,17.2
石川県,99,8.5,7.1,883,75.9,63.5,493,42.4,35.5
沖縄県,94,6.7,8,840,59.6,71.9,606,43,51.9
岩手県,92,7.1,2.5,923,70.8,25,603,46.3,16.3
香川県,92,9.3,9.2,823,83.2,82.1,469,47.4,46.8
和歌山県,86,8.7,7.8,1081,109.5,98.6,561,56.8,51.2
奈良県,75,5.4,8.8,1186,85.3,139,705,50.7,82.6
秋田県,73,6.9,2.3,821,77.2,25.8,445,41.9,14
福井県,71,8.9,6.6,590,73.8,55,290,36.3,27
山形県,68,5.9,2.4,933,81,32.7,486,42.2,17
山梨県,60,7,6.3,686,80.5,72.1,431,50.6,45.3
滋賀県,58,4.1,4.5,1017,71.8,78.4,559,39.5,43.1
島根県,53,7.5,4.1,728,103,56.5,280,39.6,21.7
鳥取県,45,7.7,4.9,518,89,56.8,262,45,28.7
