都道府県,自治体数,1自治体あたり人口 (人),1自治体当たり面積 (km2),市区数,1市区あたり人口 (人),1市区あたり面積 (km2),町村数,1町村あたり人口 (人),1町村あたり面積 (km2)
北海道,179,29188,438.11,35,123156,526.91,144,6348,416.12
長野県,77,26598,176.12,19,86551,353.9,58,6958,117.89
埼玉県,63,116584,60.28,40,171405,70.58,23,21243,42.38
東京都,62,226574,35.39,49,285054,28.81,13,6149,60.2
福岡県,60,85587,83.11,29,156366,129.75,31,19374,39.48
福島県,59,31070,233.63,13,116231,463.98,46,7003,168.53
千葉県,54,116379,95.51,37,164531,119.07,17,11578,44.24
愛知県,54,139674,95.8,38,187860,113.29,16,25234,54.06
熊本県,45,38629,164.65,14,100526,266.8,31,10675,118.52
茨城県,44,65159,138.58,32,81504,159.08,12,21574,83.91
大阪府,43,205528,44.31,33,262493,48.57,10,17541,30.26
鹿児島県,43,36936,213.65,19,74423,313.52,24,7259,134.59
岐阜県,42,47113,252.89,21,79976,402.63,21,14250,103.15
兵庫県,41,133293,204.9,29,179944,229.68,12,20553,145.03
沖縄県,41,35792,55.67,11,103207,88.88,30,11073,43.49
青森県,40,30950,241.14,10,96557,458.48,30,9081,168.69
奈良県,39,33961,94.64,12,87591,106.02,27,10125,89.58
宮城県,35,65771,208.07,14,139665,327.96,21,16509,128.14
山形県,35,30515,266.38,13,66113,362.44,22,9480,209.61
群馬県,35,55403,181.78,12,138077,241.06,23,12269,150.85
静岡県,35,103806,222.21,23,148298,278.71,12,18529,113.92
高知県,34,20339,208.93,11,51850,279.61,23,5269,175.13
岩手県,33,36683,462.88,14,71414,689.34,19,11091,296.02
神奈川県,33,279919,73.22,19,470970,95.25,14,20637,43.31
新潟県,30,73376,419.47,20,106369,531.45,10,7390,195.49
和歌山県,30,30753,157.49,9,80640,230.01,21,9373,126.41
三重県,29,61043,199.12,14,110851,288,15,14556,116.17
山梨県,27,29999,165.38,13,53157,216.65,14,8495,117.78
岡山県,27,69942,263.49,15,118591,374.12,12,9130,125.22
栃木県,26,74352,246.47,14,121371,360.99,11,21269,123.11
京都府,26,99157,177.39,15,163495,257.63,11,11423,67.97
宮崎県,26,41138,297.51,9,99732,513.1,17,10117,183.37
秋田県,25,38380,465.5,13,67007,718.47,12,7368,189.62
徳島県,24,29982,172.78,8,67222,259.43,16,11361,129.46
広島県,23,121726,368.68,14,187819,479.62,9,18916,196.11
長崎県,21,62491,196.71,13,90239,280.16,8,17401,61.12
愛媛県,20,66742,283.81,11,110377,360.67,9,13411,189.87
佐賀県,20,40572,122.03,10,67242,199.82,10,13902,44.25
石川県,19,59607,220.33,11,90181,285.13,8,17567,131.22
滋賀県,19,74401,211.44,13,103015,281.54,6,12402,59.55
鳥取県,19,29127,184.59,4,103752,299.73,15,9227,153.88
島根県,19,35322,353.04,8,75608,537.36,11,6024,218.98
山口県,19,70635,321.71,13,99187,440.63,6,8771,64.05
大分県,18,62436,352.26,14,76534,407.32,4,13094,159.57
福井県,17,45110,246.5,9,74882,309.91,8,11616,175.17
香川県,17,55897,110.4,8,100480,158.96,9,16267,67.24
富山県,15,68988,283.17,10,95262,340.26,5,16439,169
